nationality;male;female;comments
Фризы;фриз;фризка;
Хазарейцы;хазареец;хазарейка;
Хакасы, Енисейские татары, Минусинские татары, Абаканские татары, Ачинские татары;хакас, енисейский татарин, минусинский татарин, абаканский татарин, ачинский татарин;хакаска, енисейская татарка, минусинская татарка, абаканская татарка, ачинская татарка;
Халха-монголы;халха-монгол;халха-монголка;
Хамниганы;хамниган;хамниганка;
Хани;хань;хань;
Ханты;ханты, хант;ханты, хантка;
Хаони;хаонь;хаонь;
Хваршины, Хваршинцы;хваршин, хваршинец;хваршинка;
Хемшилы;хемшилец, хемшил;хемшилка;
Хиналугцы;хиналугец;хиналугец;
Хорваты;хорват;хорватка;
Хунзалы;хунзалец, хунзал;хунзалка;
Цахуры;цахурец, цахур;цахурка;
Цезы, Диодийцы;цезец, цез, диодиец;цезка, диодийка;
Цинцары;цинцар;цинцарка;
Цыгане;цыган;цыганка;
Цыгане среднеазиатские;цыган среднеазиатский;цыганка среднеазиатская;
Чадцы;чадец;чадка;
Чамалалы, Чамалинцы;чамалал, чамалинец;чамалалка, чамалинка;
Челканцы, Лебединцы;челканец, лебединец;челканка, лебединка;
Черкесогаи;черкесогай;черкесогайка;
Черкесы;черкес;черкешенка;
Черногорцы;черногорец;черногорка;
Чехи;чех;чешка;
Чеченцы-аккинцы;чеченец-аккинец;чеченка-аккинка;
Чеченцы, Нохчо, Нахче, Нахчой;чеченец, чечен, нохчо, нахче, нахчой;чеченка, нохчо, нахче, нахчой;
Чилийцы;чилиец;чилийка;
Чуванцы;чуванец;чуванка;
Чуваши;чуваш, чувашин;чувашка;
Чукчи, Луораветлане, Муроветлане;чукча, луораветланин, муроветланин, муроветлан, луороветлан;чукчанка, чукча, луораветланка, муроветланка;«Враги народа» за Полярным кругом (сборник), авторы: Федор Романенко, Сергей Ларьков
Чулымцы, Чулымские татары;чулымец, чулымский татарин;чулымка, чулымская татарка;
Шапсуги;шапсугец, шапсуг;шапсугец, шапсуг;
Шведы;швед;шведка;
Швейцарцы;швейцарец;швейцарка;
Шорцы, Кузнецкие татары;шорец, кузнецкий татарин;шорка, кузнецкая татарка;
Шотландцы;шотландец;шотландка;
Шугнанцы;шугнанец;шугнанка;
Эвенки, Тунгусы;эвенк, тунгус;эвенкийка, тунгачка, тунгуска;
Эвены, Ламуты;эвен, ламут;эвенка, ламутка;
Эквадорцы;экводорец;экводорка;
Экваторианцы;экваторианец;экваторианка;
Эльзасцы;эльзасец;эльзаска;
Энцы;энцы;энцы;
Эрзяне, Эрзя, Мордва-эрзя;эрзянин, эрзя, мордвин-эрзя;эрзянка, эрзя, мордвинка-эрзя;
Эритрейцы;эритреец;эритрейка;
Эскимосы;эскимос;эскимоска;
Эстонцы;эстонец;эстонка;
Эфиопы;эфиоп;эфиопка;
Юги;юг;югка;
Югославы;югослав;югославка;
Южноафриканцы;южноафриканец;южноафриканка;
Юкагиры;юкагир;юкагирка;
Якуты, Саха;якут, саха;якутка, саха;
Ямайцы;ямаец;ямайка;
Японцы;японец;японка;
Ятвяги;ятвяг;ятвяжка;
