id,национальность
1117976,Китайцы
1117978,Китайцы
1117979,Китайцы
1117982,Китайцы
1117983,Китайцы
1117984,Китайцы
1117989,Китайцы
1117990,Китайцы
1117991,Китайцы
1117992,Китайцы
1117994,Китайцы
1117998,Китайцы
1118000,Китайцы
1118002,Китайцы
1118003,Китайцы
1118007,Китайцы
1118008,Китайцы
1118010,Китайцы
1118013,Китайцы
1118015,Китайцы
1118016,Китайцы
1118018,Китайцы
1118020,Китайцы
1118022,Китайцы
1118023,Китайцы
1118025,Китайцы
1118026,Китайцы
1118027,Китайцы
1118028,Китайцы
1118029,Китайцы
1118032,Китайцы
1118033,Китайцы
1118034,Китайцы
1118035,Китайцы
1118036,Китайцы
1118037,Китайцы
1118039,Китайцы
1118040,Китайцы
1118041,Китайцы
1118042,Китайцы
1118043,Китайцы
1118044,Китайцы
1118045,Китайцы
1118049,Китайцы
1118050,Китайцы
1118052,Китайцы
1118054,Китайцы
1118056,Китайцы
1118057,Китайцы
1118058,Китайцы
1118059,Китайцы
1118060,Китайцы
1118063,Китайцы
1118064,Китайцы
1118065,Китайцы
1118066,Китайцы
1118068,Китайцы
1118069,Китайцы
1118070,Китайцы
1118071,Китайцы
1118072,Китайцы
1118073,Китайцы
1118077,Китайцы
1118078,Китайцы
1118080,Китайцы
1118122,Поляки
1118297,Евреи
1118358,Русские
1118405,Русские
1118499,Русские
1118503,Русские
1118533,Украинцы
1119019,Русские
1119126,Украинцы
1119167,Белорусы
1119191,Русские
1119205,Украинцы
1119211,Русские
1119249,нет данных
1119251,Украинцы
1119264,Русские
1119351,Русские
1119370,Русские
1119456,Русские
1119460,Русские
1119492,Русские
1119578,Русские
1119626,Русские
1119655,Русские
1119669,Эвенки
1119671,Эвенки
1119755,Китайцы
1119772,Русские
1119833,Русские
1119877,Русские
1120193,Русские
1120267,Русские
1120511,Русские
1120692,Белорусы
1120693,Белорусы
1120752,Евреи
1120998,Японцы
1120999,Японцы
1121001,Японцы
1121020,Русские
1121056,Русские
1121058,Русские
1121071,Русские
1121230,нет данных
1121570,Русские
1121669,Русские
1122083,Русские
1122126,Русские
1122224,Русские
1122279,Евреи
1122523,Поляки
1122524,Русские
1122556,Русские
1122663,Евреи
1122697,нет данных
1122765,Русские
1122813,Русские
1122880,Русские
1122890,Русские
1122910,нет данных
1123083,Украинцы
1123142,Евреи
1123297,Русские
1123302,Китайцы
1123309,Русские
1123365,нет данных
1123374,нет данных
1123480,Русские
1123736,Русские
1123796,Белорусы
1123818,Поляки
1124046,Русские
1124139,Русские
1124183,Евреи
1124218,Русские
1124224,Русские
1124337,Русские
1124607,Русские
1124684,Русские
1125016,Латыши
1125180,Русские
1125431,Русские
1125544,Украинцы
1125721,Русские
1125723,Немцы
1125729,нет данных
1125939,Русские
1126059,Русские
1126086,Русские
1126088,Русские
1126284,Русские
1126364,Русские
1126582,Евреи
1127041,Евреи
1127363,Евреи
1127399,Поляки
1127485,Русские
1127518,Евреи
1127593,Русские
1127658,Русские
1127674,Русские
1127720,Русские
1127821,Русские
1127831,Русские
1127840,Русские
1127890,Русские
1127976,Русские
1128025,нет данных
1128037,Украинцы
1128048,Русские
1128052,Русские
1128076,Русские
1128147,Русские
1128150,Русские
1128165,Русские
1128180,Русские
1128200,нет данных
1128440,Русские
1128741,Русские
1128823,Украинцы
1128856,Украинцы
1128910,Русские
1128971,Русские
1128987,Русские
1129026,Русские
1129252,Русские
1129306,Русские
1129470,Русские
1129473,Русские
1129576,Русские
1129584,Русские
1129591,Русские
1129609,Русские
1129617,Русские
1129625,Русские
1129635,Русские
1129738,Русские
1129739,Русские
1129847,Русские
1130014,Русские
1130044,Русские
1130048,Русские
1130106,Русские
1130117,Русские
1130120,Русские
1130146,Русские
1130181,нет данных
1130236,Русские
1130255,Русские
1130273,Русские
1130412,Русские
1130417,нет данных
1130420,Русские
1130456,Русские
1130460,Русские
1130497,Русские
1130505,Русские
1130513,Русские
1130723,Иранцы
1130765,Украинцы
1130774,Русские
1130778,Евреи
1130802,Русские
1130821,Русские
1130954,Немцы
1131005,нет данных
1131076,Евреи
1131099,Евреи
1131109,Китайцы
1131134,Русские
1131250,Русские
1131272,Русские
1131311,Русские
1131434,Русские
1131537,Русские
1131566,Русские
1131710,Русские
1131712,Русские
1131758,Русские
1131848,Русские
1131854,Русские
1131949,Русские
1132008,Русские
1132018,Русские
1132071,Русские
1132094,Русские
1132113,Русские
1132134,Русские
1132147,Русские
1132188,нет данных
1132212,Русские
1132226,Русские
1132227,Русские
1132233,нет данных
1132409,нет данных
1132412,Русские
1132414,Русские
1132415,Русские
1132454,нет данных
1132461,Белорусы
1132512,Русские
1132513,Поляки
1132552,Русские
1132623,Русские
1132660,Русские
1132755,Русские
1132785,Русские
1132936,Украинцы
1133185,Евреи
1133306,Русские
1133313,Китайцы
1133314,Китайцы
1133315,Китайцы
1133417,Китайцы
1133418,Китайцы
1133455,Китайцы
1133456,Китайцы
1133551,Русские
1133584,Белорусы
1133592,Поляки
1133645,Русские
1133709,Украинцы
1133728,Русские
1133813,Русские
1133818,Русские
1133820,Русские
1133821,Русские
1133905,Русские
1133948,Русские
1134005,Русские
1134579,Русские
1134588,Евреи
1134621,Поляки
1134695,Русские
1134729,Русские
