id,гражданство
1117780,Без гражданства
1117783,Китай
1117785,Китай
1117787,Китай
1117796,Китай
1117798,Без гражданства
1117799,Китай
1117800,Китай
1117803,Китай
1117804,Китай
1117807,Без гражданства
1117810,Китай
1117812,Чехословакия
1117813,нет данных
1117814,Китай
1117815,Китай
1117816,Китай
1117818,Китай
1117820,Китай
1117821,Китай
1117823,СССР
1117824,Китай
1117826,Китай
1117827,Китай
1117832,Китай
1117834,Китай
1117837,Китай
1117842,Без гражданства
1117843,Китай
1117844,Китай
1117845,Китай
1117846,Китай
1117849,Китай
1117851,Китай
1117852,Без гражданства
1117853,Китай
1117855,СССР
1117858,Чехословакия
1117860,Китай
1117861,Китай
1117863,Китай
1117864,Китай
1117866,Китай
1117870,Китай
1117871,Китай
1117873,Китай
1117876,Китай
1117879,Китай
1117882,Китай
1117883,Китай
1117884,Китай
1117885,Китай
1117886,Китай
1117888,Китай
1117889,Китай
1117893,Китай
1117894,Китай
1117895,Китай
1117896,Китай
1117897,Китай
1117898,Чехословакия
1117899,СССР
1117901,Китай
1117903,Китай
1117904,Китай
1117905,Китай
1117906,Китай
1117907,Китай
1117909,Китай
1117912,Китай
1117913,нет данных
1117916,Китай
1117917,нет данных
1117920,нет данных
1117921,нет данных
1117925,нет данных
1117926,нет данных
1117927,нет данных
1117930,нет данных
1117935,нет данных
1117936,нет данных
1117938,Китай
1117939,нет данных
1117941,Китай
1117943,нет данных
1117944,нет данных
1117946,нет данных
1117947,нет данных
1117951,нет данных
1117952,нет данных
1117957,нет данных
1117958,нет данных
1117961,нет данных
1117962,нет данных
1117963,нет данных
1117964,нет данных
1117966,нет данных
1117969,нет данных
1117970,нет данных
1117971,нет данных
1117972,нет данных
1117973,нет данных
1117976,нет данных
1117978,нет данных
1117979,Китай
1117982,нет данных
1117983,нет данных
1117984,нет данных
1117989,нет данных
1117990,нет данных
1117991,нет данных
1117992,нет данных
1117994,нет данных
1117998,нет данных
1118000,нет данных
1118002,нет данных
1118003,нет данных
1118007,нет данных
1118008,нет данных
1118010,нет данных
1118013,нет данных
1118015,нет данных
1118016,нет данных
1118018,нет данных
1118020,нет данных
1118022,нет данных
1118023,СССР
1118025,нет данных
1118026,нет данных
1118027,нет данных
1118028,нет данных
1118029,нет данных
1118032,нет данных
1118033,нет данных
1118034,нет данных
1118035,нет данных
1118036,Китай
1118037,нет данных
1118039,нет данных
1118040,нет данных
1118041,нет данных
1118042,нет данных
1118043,нет данных
1118044,нет данных
1118045,нет данных
1118049,нет данных
1118050,нет данных
1118052,нет данных
1118054,нет данных
1118056,нет данных
1118057,нет данных
1118058,нет данных
1118059,нет данных
1118060,нет данных
1118063,нет данных
1118064,нет данных
1118065,нет данных
1118066,нет данных
1118068,нет данных
1118069,нет данных
1118070,нет данных
1118071,нет данных
1118072,нет данных
1118073,нет данных
1118077,нет данных
1118078,нет данных
1118080,нет данных
1118122,СССР
1118297,нет данных
1118358,СССР
1118405,нет данных
1118499,СССР
1118503,СССР
1118533,СССР
1119019,СССР
1119126,СССР
1119167,СССР
1119191,СССР
1119205,СССР
1119211,СССР
1119249,нет данных
1119251,СССР
1119264,СССР
1119351,СССР
1119370,СССР
1119456,СССР
1119460,СССР
1119492,СССР
1119578,СССР
1119626,СССР
1119655,СССР
1119669,СССР
1119671,СССР
