id,партийная принадлежность
1108870,нет данных
1108938,нет данных
1109066,нет данных
1109067,нет данных
1109133,нет данных
1109149,нет данных
1109211,нет данных
1109273,нет данных
1109367,нет данных
1109399,нет данных
1109410,нет данных
1109414,нет данных
1109511,нет данных
1109601,нет данных
1109691,нет данных
1109693,нет данных
1109838,нет данных
1109888,нет данных
1109889,нет данных
1110012,нет данных
1110227,нет данных
1110498,нет данных
1110564,нет данных
1110746,нет данных
1110796,нет данных
1110802,нет данных
1110828,нет данных
1110948,нет данных
1110962,нет данных
1111034,нет данных
1111042,нет данных
1111043,нет данных
1111093,нет данных
1111107,нет данных
1111136,нет данных
1111204,нет данных
1111477,нет данных
1111531,нет данных
1111553,нет данных
1111634,нет данных
1111852,нет данных
1111855,нет данных
1111872,нет данных
1111900,нет данных
1111930,нет данных
1112020,нет данных
1112061,нет данных
1112105,нет данных
1112143,нет данных
1112172,нет данных
1112269,нет данных
1112270,нет данных
1112302,нет данных
1112355,нет данных
1112496,нет данных
1112536,нет данных
1112584,нет данных
1112589,нет данных
1112658,нет данных
1112697,нет данных
1112894,нет данных
1112960,нет данных
1112987,нет данных
1112988,нет данных
1113095,нет данных
1113126,нет данных
1113262,нет данных
1113332,нет данных
1113443,нет данных
1113444,нет данных
1113480,нет данных
1113521,нет данных
1113522,нет данных
1113568,нет данных
1113593,нет данных
1113782,нет данных
1113832,нет данных
1113834,нет данных
1113859,нет данных
1113862,нет данных
1113904,нет данных
1114096,нет данных
1114209,нет данных
1114308,нет данных
1114325,нет данных
1114334,нет данных
1114384,нет данных
1114436,нет данных
1114475,нет данных
1114584,нет данных
1114597,нет данных
1114739,нет данных
1114801,нет данных
1115021,нет данных
1115113,нет данных
1115121,нет данных
1115178,нет данных
1115242,нет данных
1115249,нет данных
1115270,нет данных
1115390,нет данных
1116100,нет данных
1116249,нет данных
1116265,нет данных
1116317,нет данных
1116342,нет данных
1116420,нет данных
1116485,нет данных
1116486,нет данных
1116838,нет данных
1117302,нет данных
1117399,нет данных
1117404,нет данных
1117421,нет данных
1117749,нет данных
1117750,нет данных
1117756,нет данных
1117758,нет данных
1117762,нет данных
1117765,нет данных
1117770,нет данных
1117778,нет данных
1117780,нет данных
1117783,нет данных
1117785,нет данных
1117787,нет данных
1117796,нет данных
1117798,нет данных
1117799,нет данных
1117800,нет данных
1117803,нет данных
1117804,нет данных
1117807,нет данных
1117810,нет данных
1117812,нет данных
1117813,нет данных
1117814,нет данных
1117815,нет данных
1117816,нет данных
1117818,нет данных
1117820,нет данных
1117821,нет данных
1117823,нет данных
1117824,нет данных
1117826,нет данных
1117827,нет данных
1117832,нет данных
1117834,нет данных
1117837,нет данных
1117842,нет данных
1117843,нет данных
1117844,нет данных
1117845,нет данных
1117846,нет данных
1117849,нет данных
1117851,нет данных
1117852,нет данных
1117853,нет данных
1117855,нет данных
1117858,нет данных
1117860,нет данных
1117861,нет данных
1117863,нет данных
1117864,нет данных
1117866,нет данных
1117870,нет данных
1117871,нет данных
1117873,нет данных
1117876,нет данных
1117879,нет данных
1117882,нет данных
1117883,нет данных
1117884,нет данных
1117885,нет данных
1117886,нет данных
1117888,нет данных
1117889,нет данных
1117893,нет данных
1117894,нет данных
1117895,нет данных
1117896,нет данных
1117897,нет данных
1117898,нет данных
1117899,нет данных
1117901,нет данных
1117903,нет данных
1117904,нет данных
1117905,нет данных
1117906,нет данных
1117907,нет данных
1117909,нет данных
1117912,нет данных
1117913,нет данных
1117916,нет данных
1117917,нет данных
1117920,нет данных
1117921,нет данных
1117925,нет данных
1117926,нет данных
1117927,нет данных
1117930,нет данных
1117935,нет данных
1117936,нет данных
1117938,нет данных
1117939,нет данных
1117941,нет данных
1117943,нет данных
1117944,нет данных
1117946,нет данных
1117947,нет данных
1117951,нет данных
1117952,нет данных
1117957,нет данных
1117958,нет данных
1117961,нет данных
1117962,нет данных
1117963,нет данных
1117964,нет данных
1117966,нет данных
1117969,нет данных
1117970,нет данных
1117971,нет данных
1117972,нет данных
1117973,нет данных
1117976,нет данных
1117978,нет данных
1117979,нет данных
1117982,нет данных
1117983,нет данных
1117984,нет данных
1117989,нет данных
1117990,нет данных
1117991,нет данных
1117992,нет данных
1117994,нет данных
1117998,нет данных
1118000,нет данных
1118002,нет данных
1118003,нет данных
1118007,нет данных
1118008,нет данных
1118010,нет данных
1118013,нет данных
1118015,нет данных
1118016,нет данных
1118018,нет данных
1118020,нет данных
1118022,нет данных
1118023,нет данных
1118025,нет данных
1118026,нет данных
1118027,нет данных
1118028,нет данных
1118029,нет данных
1118032,нет данных
1118033,нет данных
1118034,нет данных
1118035,нет данных
1118036,нет данных
1118037,нет данных
1118039,нет данных
1118040,нет данных
1118041,нет данных
1118042,нет данных
1118043,нет данных
1118044,нет данных
1118045,нет данных
1118049,нет данных
1118050,нет данных
1118052,нет данных
1118054,нет данных
1118056,нет данных
1118057,нет данных
1118058,нет данных
1118059,нет данных
1118060,нет данных
1118063,нет данных
1118064,нет данных
1118065,нет данных
1118066,нет данных
1118068,нет данных
1118069,нет данных
1118070,нет данных
1118071,нет данных
1118072,нет данных
1118073,нет данных
1118077,нет данных
1118078,нет данных
1118080,нет данных
1118122,нет данных
1118297,нет данных
1118358,нет данных
1118405,нет данных
1118499,нет данных
1118503,нет данных
1118533,нет данных
1119019,нет данных
1119126,нет данных
1119167,нет данных
1119191,нет данных
